Token,POS
.,ZE
,
naam,NSE
van,SVS
bank,NSE
,
die,LB
said,RL
sal,VTUOM
die,LB
nodige,ASA
vorms,NSM
aan,SVS
geregistreerde,ASA
voorlopige,ASA
belastingbetalers,NSM
stuur,VTHOG
.,ZE
,
twee,THAB
persone,NSM
wat,PB
as,KO
getuies,NSM
by,SVS
die,LB
huwelik,NSE
was,VVHOK
(,ZPL
een,THAB
getuie,NSE
moet,VTUOM
die,LB
man,NSE
verteenwoordig,VTHOG
en,KN
die,LB
ander,ASA
een,THPB
die,LB
vrou,NSE
),ZPR
,
bereid,ASP
moet,VTUOM
wees,VTHOK
om,SVS
die,LB
ampseed,NSE
af,UPW
te,UPI
lê,VTHOG
,
ek,PEENP
verwys,VTHOV
hier,BS
spesifiek,BS
na,SVS
die,LB
fifa-wêreldbeker,NSE
in,SVS
2010,RS
",",ZM
sowel,KO
as,KO
die,LB
konfederasiebeker,NSE
'n,LO
paar,THAO
maande,NSM
van,SVS
nou,BS
af,SVS
.,ZE
,
daar,UXD
is,VTHOK
sowat,BS
290,RS
soorte,NSM
plante,NSM
op,SVS
die,LB
lys,NSE
van,SVS
plante,NSM
(,ZPL
tabel,NSE
1,RS
),ZPR
waarvoor,PB
planttelersregte,NSM
toegestaan,VVHOG
mag,VTUOM
word,VTUOP
.,ZE
,
regstreeks,BS
aan,SVS
die,LB
persoon,NSE
wat,PB
op,SVS
die,LB
geld,NM
geregtig,ASP
is,VTHOK
,
verkieslik,BS
'n,LO
rybewys,NSE
moet,VTUOM
hê,VTHOG
",",ZM
ofskoon,KO
dit,PDOENP
nie,BS
'n,LO
voorvereiste,NSE
vir,SVS
reserviste,NSM
is,VTHOK
nie,UPO
.,ZE
,
verseker,VTHOG
konsekwentheid,NSE
in,SVS
onderwyseroordele,NSM
;,ZM
,
die,LB
gcis,RL
ontken,VTHOG
uitdruklik,BS
enige,PO
aanspreeklikheid,NA
ten,SVS
opsigte,NSM
van,SVS
geïmpliseerde,ASA
waarborge,NSM
",",ZM
met,SVS
inbegrip,NA
van,SVS
",",ZM
maar,KN
nie,BS
beperk,ASP
nie,UPO
tot,SVS
",",ZM
waarborge,NSM
oor,SVS
bemarkbaarheid,NA
",",ZM
titel,NSE
",",ZM
geskiktheid,NA
vir,SVS
'n,LO
bepaalde,ASA
doel,NSE
",",ZM
nie-inbreukmaking,NA
",",ZM
versoenbaarheid,NA
",",ZM
sekuriteit,NA
en,KN
akkuraatheid,NA
",",ZM
en,KN
maak,VTHOG
geen,THBB
uitdruklike,ASA
of,KN
geïmpliseerde,ASA
voorstelling,NSE
of,KN
waarborg,NSE
ten,SVS
opsigte,NSM
van,SVS
die,LB
inhoud,NM
van,SVS
die,LB
webwerf,NSE
",",ZM
of,KN
dat,KO
die,LB
webwerf,NSE
só,UPV
saamgestel,VVHOG
is,VVUOP
of,KN
sodanige,PA
inligting,NM
verskaf,VTHOG
dat,KO
dit,PDOENP
aan,SVS
die,LB
gebruiker,NSE
se,UPS
individuele,ASA
vereistes,NSM
sal,VTUOM
voldoen,VTHOV
nie,UPO
.,ZE
,
formatiewe,ASA
assessering,NA
monitor,VTHOG
en,KN
ondersteun,VTHOG
die,LB
leer-,RWD
en,KN
onderrigproses,NSE
en,KN
word,VTUOP
gebruik,VTHOG
om,SVS
onderwysers,NSM
en,KN
leerders,NSM
oor,SVS
'n,LO
leerder,NSE
se,UPS
vordering,NA
in,UPW
te,UPI
lig,VTHOG
ten,SVS
einde,NSE
leer,NA
te,UPI
verbeter,VTHOG
.,ZE
,
leeruitkoms,NSE
6,RS
hou,VTHOG
verband,NSE
met,SVS
die,LB
kern,NSE
van,SVS
taal,NSE
-,ZM
klanke,NSM
",",ZM
woorde,NSM
en,KN
grammatika,NSE
-,ZM
in,SVS
tekste,NSM
.,ZE
,
jou,PTEB
plig,NSE
om,SVS
onderhoud,NM
te,UPI
betaal,VTHOG
en,KN
jou,PTEB
reg,NSE
op,SVS
toegang,NA
tot,SVS
jou,PTEB
kinders,NSM
is,VTHOK
twee,THAB
heeltemal,BS
verskillende,ASA
sake,NSM
",",VTHOG
wat,PB
op,SVS
geen,THAB
manier,NSE
van,SVS
mekaar,PW
afhanklik,ASP
is,VTHOK
nie,UPO
.,ZE
,
kontak,VTHOG
ons,PEMP
asseblief,BS
(,ZPL
electronic@gcis.gov.za,NEE
),ZPR
indien,KO
jy,PTENP
enige,PO
probleme,NSM
met,SVS
die,LB
webtuiste,NSE
ondervind,VTHOG
.,ZE
,
indien,KO
enige,PO
bepaling,NSE
of,KN
voorwaarde,NSE
vir,SVS
die,LB
gebruik,NA
van,SVS
hierdie,PA
webwerf,NSE
nie,BS
ten,SVS
volle,BS
afdwingbaar,ASP
of,KN
geldig,ASP
is,VTHOK
nie,UPO
",",ZM
ongeag,SVS
om,SVS
watter,PB
rede,NSE
ook,BS
al,BS
",",ZM
sal,VTUOM
sodanige,PA
bepaling(s),NSE
of,KN
voorwaarde(s),NSE
skeibaar,ASP
wees,VTHOK
van,SVS
die,LB
oorblywende,ASA
bepalings,NSM
en,KN
voorwaardes,NSM
.,ZE
,
ses,THAB
jaar,NSE
gelede,BS
het,VUOT
die,LB
leiers,NSM
van,SVS
die,LB
mense,NSM
bymekaargekom,VVHOO
vir,SVS
die,LB
wêreldberaad,NSE
oor,SVS
groei,NA
en,KN
ontwikkeling,NA
en,KN
ooreengekom,VVHOO
oor,SVS
die,LB
take,NSM
wat,PB
ons,PEMP
moet,VTUOM
uitvoer,VTHSG
om,SVS
die,LB
lewenskwaliteit,NA
van,SVS
suid-afrikaners,NSM
te,UPI
verbeter,VTHOG
",",ZM
spesifiek,BS
om,SVS
werkloosheid,NA
en,KN
armoede,NA
teen,SVS
2014,RS
te,UPI
halveer,VTHOG
.,ZE
,
alle,THAO
redelike,ASA
stappe,NSM
sal,VTUOM
geneem,VVHOG
word,VTUOP
om,SVS
'n,LO
gebruiker,NSE
se,UPS
inligting,NM
te,UPI
beveilig,VTHOG
.,ZE
,
die,LB
besigheid,NSE
se,UPS
registrasiesertifikaat,NSE
",",VTHOG
wat,PB
deur,SVS
die,LB
registrateur,NSE
van,SVS
maatskappye,NSM
of,KN
",",VTHOG
in,SVS
die,LB
geval,NSE
van,SVS
'n,LO
trust,NSE
",",VTHOG
deur,SVS
die,LB
meester,NSE
van,SVS
die,LB
hooggeregshof,NSE
uitgereik,VVHOG
is,VVUOP
,
hierdie,PA
waarnemings,NSM
word,VTUOP
inderdaad,BS
bevestig,VTHOG
deur,SVS
ons,PEMB
eie,ASA
navorsing,NM
",",ZM
wat,PB
wys,VTHOG
dat,KO
inkomste-armoede,NA
veral,BS
in,SVS
swart-,RWD
en,KN
kleurling-gemeenskappe,NSM
afgeneem,VVHOO
het,VUOT
",",ZM
deels,BS
as,KO
gevolg,NSE
van,SVS
laer,AVA
vlakke,NSM
van,SVS
werkloosheid,NA
en,KN
beter,AVA
toegang,NA
tot,SVS
maatskaplike,ASA
toelaes,NSM
.,ZE
,
op,SVS
dieselfde,ASA
wyse,NSE
sal,VTUOM
ons,PEMP
aanhou,VTHSO
om,SVS
saam,UPW
met,SVS
ander,ASA
lande,NSM
en,KN
die,LB
afrika-unie,NSE
te,UPI
werk,VTHOO
om,SVS
hierdie,PA
doelwitte,NSM
in,SVS
burundi,NEE
",",ZM
soedan,NEE
",",ZM
westelike,ASA
sahara,NEE
",",ZM
die,LB
ivoorkus,NEE
",",ZM
somalia,NEE
en,KN
elders,BS
na,UPW
te,UPI
streef,VTHOG
.,ZE
,
city,NEE
deep,NEE
abattoir,NEE
(,ZPL
slegs,BS
produkte,NSM
uit,SVS
buurlande,NSM
),ZPR
:,ZM
tel,RA
.,ZE
:,ZM
0116131636,NEE
,
(,ZPL
as,KO
'n,LO
werknemer,NSE
nie,BS
vir,SVS
die,LB
volle,ASA
duur,NA
van,SVS
die,LB
belastingjaar,NSE
vir,SVS
dieselfde,ASA
werkgewer,NSE
gewerk,VVHOO
het,VUOT
nie,UPO
",",ZM
moet,VTUOM
die,LB
besoldiging,NM
wat,PB
in,SVS
die,LB
belastingperiode,NSE
ontvang,VTHOG
is,VVUOP
pro,RV
rata,RV
aangepas,VVHOG
word,VTUOP
om,SVS
te,UPI
bepaal,VTHOG
of,KO
'n,LO
ib3(a),RS
uitgereik,VVHOG
moet,VTUOM
word,VTUOP
.,ZE
),ZPR
,
die,LB
hoeveelheid,NSE
gratis,ASA
basiese,ASA
elektrisiteit,NM
is,VTHOK
50,RS
kwh,RA
per,SVS
huishouding,NSE
per,SVS
maand,NSE
indien,KO
jy,PTENP
op,SVS
'n,LO
energienetwerkstelsel,NSE
aangesluit,VVHOG
is,VVUOP
(,ZPL
dit,PDOENP
wil,VTUOM
sê,VTHOG
as,KO
jy,PTENP
via,SVS
die,LB
nasionale,ASA
elektrifiseringsprogram,NSE
energie,NM
ontvang,VTHOG
),ZPR
.,ZE
,
deur,SVS
die,LB
jare,NSM
het,VUOT
dit,PDOENP
duideliker,AVP
as,KO
ooit,BS
geraak,VVHOK
dat,KO
hierdie,PA
vennootskap,NSE
baie,THAO
wedersydse,ASA
voordele,NSM
inhou,VTHSG
.,ZE
,
dit,PDOENP
moet,VTUOM
gebaseer,VVHOG
wees,VTHOK
op,SVS
die,LB
nasionale,ASA
begeerte,NSE
na,SVS
vrede,NA
",",ZM
dit,PDOENP
moet,VTUOM
hierdie,PA
begeerte,NSE
versterk,VTHOG
",",ZM
en,KN
dit,PDOENP
moet,VTUOM
die,LB
endemiese,ASA
geweld,NA
wat,PB
gemeenskappe,NSM
in,SVS
die,LB
gesig,NSE
staar,VTHOG
",",ZM
beveg,VTHOG
.,ZE
.,ZE
.,ZE
met,SVS
spesiale,ASA
aandag,NA
aan,SVS
die,LB
onderskeie,ASA
vorme,NSM
van,SVS
geweld,NA
waaraan,PB
vroue,NSM
onderwerp,VTHOG
word,VTUOP
.,ZE
.,ZE
.,ZE
,
laat,VTUOA
ons,PEMP
saam,BS
oor,SVS
vryheid,NA
praat,VTHOO
.,ZE
,
soos,UPV
reeds,BS
genoem,VVHOG
is,VVUOP
",",ZM
sal,VTUOM
hierdie,PA
en,KN
ander,ASA
maatreëls,NSM
slegs,BS
slaag,VTHOO
indien,KO
ons,PEMP
'n,LO
durende,ASA
vennootskap,NSE
",",ZM
in,SVS
die,LB
praktyk,NSE
",",ZM
binne,SVS
gemeenskappe,NSM
en,KN
tussen,SVS
gemeenskappe,NSM
en,KN
die,LB
polisie,NM
tot,SVS
stand,NA
bring,VTHOO
om,SVS
die,LB
lewe,NSE
vir,SVS
misdadigers,NSM
al,THBO
hoe,PB
moeiliker,BV
te,UPI
maak,VTHOG
.,ZE
,
jy,PTENP
kan,VTUOM
hierdie,PA
datums,NSM
",",VTHOG
asook,KN
inligting,NM
oor,SVS
die,LB
hoeveelheid,NSE
van,SVS
die,LB
voortplantingsmateriaal,NM
wat,PB
ingedien,VVHOG
moet,VTUOM
word,VTUOP
en,KN
die,LB
plek,NSE
van,SVS
indiening,NSE
",",VTHOG
kan,VTUOM
by,SVS
die,LB
registrateur,NSE
aanvra,VTHSG
.,ZE
,
die,LB
privaatsektor,NSE
het,VTHOO
met,SVS
dieselfde,ASA
uitdagings,NSM
te,UPI
kampe,VTHOO
.,ZE
,
agbare,ASA
lede,NSM
;,ZM
,
ongeag,SVS
die,LB
stampe,NSM
en,KN
stote,NSM
wat,PB
klaarblyklik,BS
die,LB
vordering,NA
van,SVS
die,LB
mense,NSM
van,SVS
die,LB
demokratiese,ASA
republiek,NSE
van,SVS
kongo,NEE
(,ZPL
drk,RL
),ZPR
op,SVS
hul,PDMB
pad,NSE
na,SVS
stabiliteit,NA
en,KN
vooruitgang,NA
karakteriseer,VTHOG
",",ZM
is,VTHOK
dit,PDOENP
ook,BS
bemoedigend,ASP
dat,KO
vooruitgang,NA
daar,UXD
gemaak,VVHOG
word,VTUOP
.,ZE
,
"""",ZPL
.,ZE
.,ZE
.,ZE
[,ZPL
het,VUOT
],ZPR
suid-afrika,NEE
gedemonstreer,VVHOG
hoe,PB
die,LB
mensereg,NSE
tot,SVS
water,NM
as,KO
'n,LO
meganisme,NSE
vir,SVS
bemagtiging,NA
en,KN
'n,LO
riglyn,NSE
vir,SVS
beleid,NSE
kan,VTUOM
dien,VTHOO
.,ZE
.,ZE
.,ZE
"""",ZPR
,
om,SVS
'n,LO
professionele,ASA
benadering,NSE
tot,SVS
leerderassessering,NA
te,UPI
verseker,VTHOG
",",ZM
moet,VTUOM
die,LB
skool,NSE
se,UPS
assesseringsprogram,NSE
die,LB
volgende,NA
duidelik,BS
uiteensit,VTHSG
:,ZM
,
daarbenewens,PB
kan,VTUOM
die,LB
webadministrateur,NSE
",",ZM
waar,PB
nodig,ASP
",",ZM
'n,LO
gebruiker,NSE
se,UPS
inligting,NM
vir,SVS
verskeie,ASA
werfverwante,ASA
take,NSM
gebruik,VTHOG
.,ZE
,
daardie,PA
inisiatief,NSE
het,VUOT
die,LB
grondslag,NSE
gelê,VVHOG
vir,SVS
wêreldwye,ASA
konsensus,NA
deur,SVS
die,LB
verenigde,ASA
nasies,NSM
oor,SVS
die,LB
benadering,NSE
tot,SVS
onderhandelinge,NSM
in,SVS
suid-afrika,NEE
.,ZE
,
daar,UXD
is,VTHOK
twee,THAB
basiese,ASA
beginsels,NSM
wat,PB
ons,PEMP
lei,VTHOG
in,SVS
ons,PEMB
strewe,NA
:,ZM
die,LB
noodsaaklikheid,NSE
om,SVS
die,LB
mandaat,NSE
uit,UPW
te,UPI
voer,VTHOG
wat,PB
in,SVS
2004,RS
aan,SVS
hierdie,PA
regering,NSE
gegee,VVHOG
is,VVUOP
;,ZM
en,KN
om,SVS
seker,BS
te,UPI
maak,VTHOO
dat,KO
die,LB
regering,NSE
wat,PB
ons,PEMP
opvolg,VTHSG
na,SVS
die,LB
verkiesing,NSE
'n,LO
platform,NSE
kry,VTHOG
wat,PB
gereed,ASP
is,VTHOK
vir,SVS
die,LB
implementering,NA
van,SVS
programme,NSM
sonder,SVS
onnodige,ASA
oponthoud,NA
.,ZE
,
groter,AVA
klem,NSE
sal,VTUOM
geplaas,VVHOG
word,VTUOP
op,SVS
gebiede,NSM
met,SVS
groot,ASA
hoeveelhede,NSM
plaasbewoners,NSM
en,KN
gebiede,NSM
met,SVS
hoë,ASA
uitsettingsyfers,NSM
",",ZM
en,KN
ons,PEMP
beplan,VTHOO
om,SVS
swart,ASA
entrepreneurskap,NA
in,SVS
landbouproduksie,NM
met,SVS
5%,RS
per,SVS
jaar,NSE
te,UPI
verhoog,VTHOG
.,ZE
,
die,LB
manier,NSE
waarop,PB
deurlopende,ASA
assessering,NA
beplan,VTHOG
en,KN
geïmplementeer,VVHOG
word,VTUOP
;,ZM
,
wie,PB
verantwoordelik,ASP
sal,VTUOM
wees,VTHOK
vir,SVS
die,LB
opstel,NA
en,KN
voorlegging,NSE
van,SVS
dokumente,NSM
aan,SVS
die,LB
suid-afrikaanse,ASA
inkomstediens,NSE
;,ZM
en,KN
,
dit,PDOENP
is,VTHOK
eenvormig,ASP
",",VTHOG
dit,PDOENP
wil,VTUOM
sê,VTHOO
al,THAO
die,LB
plante,NSM
in,SVS
'n,LO
aanplanting,NSE
lyk,VTHOK
eenders,ASP
en,KN
het,VTHOG
dieselfde,ASA
eienskappe,NSM
,
die,LB
kliënt,NSE
se,UPS
19-syfer,NSE
lange,ASA
betalingsverwysingsnommer,NSE
,
dit,PDOENP
dui,VTHOO
op,SVS
swakhede,NSM
in,SVS
die,LB
doeltreffendheid,NA
van,SVS
die,LB
hofstelsel,NSE
",",ZM
beide,THPB
met,SVS
betrekking,NA
tot,SVS
tegniese,ASA
en,KN
ander,ASA
infrastruktuur,NM
en,KN
bestuur,NA
.,ZE
,
die,LB
aansoeker,NSE
moet,VTUOM
'n,LO
regspersoon,NSE
wees,VTHOK
",",VTHOG
byvoorbeeld,BS
johan,NEE
pieters,NEE
citizen,NEE
wat,PB
sake,NSM
doen,VTHOG
as,KO
diepsloot,NEE
stud,NEE
.,ZE
,
hoe,PB
dikwels,BS
rapportering,NA
plaasvind,VTHSO
en,KN
die,LB
metode,NSE
daarvan,PB
;,ZM
,
die,LB
webtuiste,NSE
bevat,VTHOG
inligting,NM
oor,SVS
regeringsdienste,NSM
wat,PB
op,SVS
die,LB
nasionale,ASA
regeringsvlak,NSE
aangebied,VVHOG
word,VTUOP
.,ZE
,
ons,PEMP
sluit,VTHOO
dus,BS
aan,UPW
by,SVS
die,LB
sadc,RK
se,UPS
staats-,RWD
en,KN
regeringshoofde,NSM
wanneer,PB
ons,PEMP
diegene,PO
gelukwens,VTHSG
wat,PB
betrokke,ASP
was,VVHOK
by,SVS
die,LB
zimbabwe-samesprekings,NSM
met,SVS
hul,PDMB
prysenswaardige,ASA
prestasies,NSM
",",ZM
en,KN
ons,PEMP
moedig,VTHOG
hulle,PDMP
aan,UPW
om,SVS
saam,UPW
te,UPI
werk,VTHOO
om,SVS
die,LB
oorblywende,ASA
prosessuele,ASA
aangeleentheid,NSE
op,UPW
te,UPI
los,VTHOG
.,ZE
,
inderwaarheid,BS
kan,VTUOM
suid-afrika,NEE
en,KN
die,LB
res,NSE
van,UPD
die,LB
kontinent,NSE
steeds,BS
groei,NA
verwag,VTHOG
",",ZM
al,BS
is,VTHOK
dit,PDOENP
teen,SVS
'n,LO
stadiger,AVA
koers,NSE
",",ZM
in,SVS
'n,LO
tyd,NSE
wanneer,PB
ander,ASA
lande,NSM
resessies,NSM
ervaar,VTHOG
of,KN
voorspel,VTHOG
.,ZE
,
dit,PDOENP
is,VTHOK
die,LB
gebruiker,NSE
se,UPS
alleenverantwoordelikheid,NA
om,SVS
",",ZM
voordat,KO
hy,PDHENP
of,KN
sy,PDVENP
toegang,NA
tot,SVS
die,LB
webwerf,NSE
verkry,VTHOG
",",ZM
seker,BS
te,UPI
maak,VTHOO
dat,KO
die,LB
webwerf,NSE
aan,SVS
die,LB
gebruiker,NSE
se,UPS
individuele,ASA
vereistes,NSM
sal,VTUOM
voldoen,VTHOV
en,KN
met,SVS
die,LB
gebruiker,NSE
se,UPS
hardeware,NM
en,KN
/,RS
of,KN
sagteware,NM
versoenbaar,ASP
is,VTHOK
.,ZE
,
ingevolge,SVS
die,LB
gewoontereg,NA
het,VTHOG
die,LB
vrou,NSE
nou,BS
die,LB
handelingsbevoegdheid,NSE
om,SVS
'n,LO
kontrak,NSE
te,UPI
sluit,VTHOG
sonder,SVS
die,LB
bystand,NA
van,SVS
die,LB
man,NSE
.,ZE
,
huwelike,NSM
volgens,SVS
die,LB
gewoontereg,NA
en,KN
gemeenskap,NA
van,SVS
goedere,NSM
?,ZE
,
verseker,VTHOG
uitgebreide,ASA
geleenthede,NSM
vir,SVS
leerders,NSM
.,ZE
,
hierdie,PA
besonderhede,NSM
verskyn,VTHOO
op,SVS
die,LB
irp,RL
6-opgawe,NSE
se,UPS
betalingsadvies,NA
.,ZE
,
rente,NM
op,SVS
lenings,NSM
en,KN
verbande,NSM
(,ZPL
behalwe,SVS
lenings,NSM
of,KN
verbande,NSM
wat,PB
aan,SVS
banke,NSM
verskuldig,ASP
is,VTHOK
),ZPR
,
aan,SVS
die,LB
een,THAB
kant,NSE
sal,VTUOM
planne,NSM
voortgaan,VTHSO
om,SVS
werksgeleenthede,NSM
uit,UPW
te,UPI
brei,VTHOG
in,SVS
sektore,NSM
soos,UPV
gesondheid,NA
",",ZM
maatskaplike,ASA
werk,NA
",",ZM
onderwys,NA
en,KN
wetstoepassingsagentskappe,NSM
.,ZE
,
die,LB
attesteringsafdeling,NSE
kan,VTUOM
die,LB
betrokke,ASA
attestering,NA
of,KN
apostilsertifikaat,NSE
uitreik,VTHSG
indien,KO
die,LB
volgende,ASA
reëls,NSM
nagekom,VVHOG
is,VVUOP
:,ZM
,
stappe,NSM
om,SVS
te,UPI
volg,VTHOG
,
dit,PDOENP
voorsien,VTHOG
ons,PEMP
nog,BS
steeds,BS
van,SVS
'n,LO
sterk,ASA
basis,NSE
van,SVS
waar,PB
ons,PEMP
moet,VTUOM
voortgaan,VTHSO
terwyl,KO
ons,PEMP
doelgerig,BS
streef,VTHOO
om,SVS
die,LB
doelwit,NSE
van,SVS
'n,LO
beter,AVA
lewe,NSE
vir,SVS
al,THAO
ons,PEMB
mense,NSM
te,UPI
bereik,VTHOG
.,ZE
,
hierbenewens,PB
sal,VTUOM
telkom,RK
",",ZM
as,KO
deel,NSE
van,SVS
die,LB
poging,NSE
om,SVS
die,LB
besigheidsproses-uitbestedingsektor,NSE
(,ZPL
bpo-sektor,NSE
),ZPR
te,UPI
vergroot,VTHOG
",",ZM
'n,LO
spesiale,ASA
lae,ASA
tarief,NSE
vir,SVS
internasionale,ASA
bandwydte,NM
hef,VTHOG
aan,SVS
10,RS
ontwikkelingsoproepsentra,NSM
wat,PB
elk,PO
1,RS
000,RS
werknemers,NSM
in,SVS
diens,NSE
het,VTHOG
.,ZE
,
dien,VTHOG
in,SVS
engels,NEE
en,KN
afrikaans,NEE
in,UPW
.,ZE
,
die,LB
regering,NSE
het,VUOT
nog,BS
nie,BS
die,LB
gratis,ASA
vullisverwyderingstelsel,NSE
in,SVS
werking,NA
gestel,VVHOG
nie,UPO
.,ZE
,
'n,LO
logo,NSE
:,ZM
nike,NEE
se,UPS
regmerkie,NSED
"""",ZPL
v,RS
"""",ZPR
",",ZM
of,KN
macdonalds,NEE
se,UPS
"""",ZPL
m,RS
"""",ZPR
,
inligting,NM
oor,SVS
webwerf,NSE
en,KN
eienaar,NSE
,
dit,PDOENP
stel,VTHOG
onderwysers,NSM
in,SVS
staat,NSE
om,SVS
leerprogramme,NSM
en,KN
leeraktiwiteite,NSM
te,UPI
beplan,VTHOG
.,ZE
,
verrig,VTHOG
spesifieke,ASA
administratiewe,ASA
ondersteuningsfunksies,NSM
op,SVS
nasionale,ASA
",",ZM
provinsiale,ASA
",",ZM
streeks-,RWD
of,KN
stasievlak,NSE
",",ZM
maar,KN
mag,VTUOM
nie,BS
funksionele,ASA
polisiëringsdienste,NSM
verrig,VTHOG
nie,UPO
,
die,LB
instelling,NA
van,SVS
'n,LO
stelsel,NSE
van,SVS
produkte,NSM
vir,SVS
voorkeurverskaffing,NA
aan,SVS
die,LB
regering,NSE
deur,SVS
klein-,RWD
",",ZM
medium-,RWD
en,KN
mikro-ondernemings,NSM
;,ZM
en,KN
die,LB
daarstelling,NA
van,SVS
'n,LO
nougesette,ASA
stelsel,NSE
deur,SVS
die,LB
"""",ZPL
small,NEE
enterprises,NEE
development,NEE
agency,NEE
"""",ZPL
om,SVS
te,UPI
verseker,VTHOG
dat,KO
die,LB
30-dag,NSE
betalingstydperk,NSE
nagekom,VVHOG
word,VTUOP
.,ZE
,
vul,VTHOG
vorm,NSE
cm31,RS
in,UPW
om,SVS
toestemming,NA
te,UPI
gee,VTHOG
dat,KO
'n,LO
persoon,NSE
as,KO
ouditeur,NSE
mag,VTUOM
optree,VTHSO
.,ZE
,
vrywaring,NA
,
dit,PDOENP
is,VTHOK
onvermydelik,ASP
dat,KO
",",ZM
indien,KO
ons,PEMP
voortgaan,VTHSO
om,SVS
te,UPI
groei,VTHOO
as,KO
'n,LO
vervaardigingsland,NSE
",",ZM
ons,PEMP
ook,BS
sal,VTUOM
moet,VTUOM
voortgaan,VTHSO
om,SVS
die,LB
prosesseringsbedryf,NSE
te,UPI
ondersteun,VTHOG
.,ZE
,
"""",ZPL
dit,PDOENP
was,VVHOK
'n,LO
plek,NSE
waar,PB
om,SVS
in,SVS
ander,ASA
woonbuurte,NSM
te,UPI
woon,VTHOO
",",ZM
beteken,VTHOG
het,VUOT
dat,KO
jy,PTENP
veiligheid,NA
en,KN
sekuriteit,NA
geniet,VTHOG
het,VUOT
",",ZM
want,KN
om,SVS
veilig,ASP
te,UPI
wees,VTHOK
was,VVHOK
om,SVS
beskerm,VTHOG
te,UPI
wees,VTHOK
deur,SVS
hoë,ASA
mure,NSM
",",ZM
geëlektrifiseerde,ASA
heinings,NSM
",",ZM
waghonde,NSM
",",ZM
polisiepatrollies,NSM
en,KN
militêre,ASA
regimente,NSM
wat,PB
gereed,ASP
was,VVHOK
om,SVS
diegene,PO
te,UPI
beskerm,VTHOG
wat,PB
ons,PEMB
meesters,NSM
was,VVHOK
",",ZM
met,SVS
gewere,NSM
en,KN
tenks,NSM
en,KN
vliegtuie,NSM
wat,PB
die,LB
dood,NM
sou,VVUOM
laat,VTUOA
neerreën,VTHSG
op,SVS
diegene,PO
wat,PB
die,LB
meesters,NSM
se,UPS
vrede,NA
versteur,VTHOG
.,ZE
.,ZE
.,ZE
"""",ZPR
,
as,KO
die,LB
produkte,NSM
in,SVS
transito,RV
deur,SVS
suid-afrika,NEE
vervoer,VTHOG
word,VTUOP
",",ZM
moet,VTUOM
jy,PTENP
'n,LO
afskrif,NSE
van,SVS
die,LB
veeartseny-invoerpermit,NSE
van,SVS
die,LB
land,NSE
van,SVS
eindbestemming,NSE
saam,BS
met,SVS
die,LB
aansoek,NSE
om,SVS
'n,LO
suid-afrikaanse,ASA
veeartseny-transitopermit,NSE
indien,VTHSG
.,ZE
,
baie,THAO
van,UPD
die,LB
gebreke,NSM
in,SVS
die,LB
verbetering,NSE
van,SVS
dienste,NSM
aan,SVS
die,LB
bevolking,NSE
het,VTHOG
hulle,PDMB
oorsprong,NSE
ten,SVS
dele,NSM
in,SVS
onvoldoende,ASA
kapasiteit,NM
en,KN
stelsels,NSM
waarmee,PB
die,LB
inwerkingstelling,NA
gemoniteer,VVHOG
kan,VTUOM
word,VTUOP
.,ZE
,
tak,NSE
,
doen,VTHOG
om,SVS
onderhoud,NM
aansoek,NSE
by,SVS
die,LB
landdroshof,NSE
in,SVS
die,LB
distrik,NSE
waar,PB
jy,PTENP
woon,VTHOO
.,ZE
,
indien,KO
die,LB
direkteur-generaal,NSE
",",VTHOG
of,KN
'n,LO
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
",",VTHOG
of,KN
enige,PO
lid,NSE
van,SVS
die,LB
vereniging,NSE
",",VTHOG
of,KN
enige,PO
ander,ASA
belanghebbende,ASA
persoon,NSE
aansoek,NSE
doen,VTHOG
dat,KO
'n,LO
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
deur,SVS
die,LB
direkteur-generaal,NSE
onder,SVS
administrasie,NSE
geplaas,VVHOG
of,KN
gelikwideer,VVHOG
moet,VTUOM
word,VTUOP
",",VTHOG
kan,VTUOM
die,LB
minister,NSE
beslis,VTHOO
ingevolge,SVS
watter,PB
prosedure,NSE
die,LB
direkteur-generaal,NSE
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
onder,SVS
administrasie,NSE
moet,VTUOM
plaas,VTHOG
of,KN
likwideer,VTHOG
.,ZE
,
beplan,VTHOO
om,SVS
voltyds,BS
te,UPI
boer,VTHOG
,
indien,KO
enige,PO
van,UPD
die,LB
partye,NSM
nog,BS
kinders,NSM
sou,VVUOM
hê,VTHOG
",",VTHOG
sal,VTUOM
dit,PDOENP
geen,THAB
invloed,NSE
op,SVS
die,LB
onderhoudsplig,NSE
uitoefen,VTHSG
nie,UPO
.,ZE
,
indien,KO
jy,PTENP
die,LB
persoon,NSE
is,VTHOK
wat,PB
onderhoud,NA
ontvang,VTHOG
:,ZM
,
leeruitkoms,NSE
5,RS
hou,VTHOG
verband,NSE
met,SVS
die,LB
gebruik,NA
van,SVS
taal,NSE
vir,SVS
dink,NA
en,KN
redeneer,NA
",",ZM
wat,PB
veral,BS
belangrik,ASP
vir,SVS
die,LB
taal,NSE
van,SVS
leer,NA
en,KN
onderrig,NA
is,VTHOK
.,ZE
,
wanneer,PB
die,LB
bestaande,ASA
